Algorithm,Device,Data Set Size GB,Block Size MB,Block Size % Dataset Size (#tasks),CPU binding,GPU binding,Setup environment variables,Get parameters,Import user module,User code,Deserializing string,Deserializing object,Serializing object,Serializing object MPI env,Build success message,Build COMPSs exception message,Build exception message,Clean environment,Get by ID persistent object,Get object ID,Make persistent object,Delete persistent object,Get object from RAM cache,Put object in RAM cache,Remove object from cache,Wait on,Task instantiation,Cache RAM hit
MATMUL,CPU,8,2048,25.0 (12),0,0,0,0,10.04,232.52,0,367.58,35.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MATMUL,GPU,8,2048,25.0 (12),0,0,0,0,9.09,24.46,0,296.11,25.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MATMUL,CPU,8,512,6.3 (112),0,0,0,0,10.79,30.42,0,183.75,15.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MATMUL,GPU,8,512,6.3 (112),0,0,0,0,8.46,15.15,0,153.06,17.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
MATMUL,CPU,8,128,1.6 (960),0,0,0,0,4.81,15.84,0,221.18,45.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0
MATMUL,GPU,8,128,1.6 (960),0,0,0,0,5.14,14.25,0,260.92,55.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
MATMUL,CPU,8,32,0.4 (7936),0,0,0.01,0.01,0.01,15.96,0,416.9,152.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0
MATMUL,GPU,8,32,0.4 (7936),0.02,0.02,0.02,0.03,0.03,21.01,0,634.33,158.83,0,0.02,0,0,0.02,0,0,0,0,0,0,0,0,0.47,0
KMEANS,CPU,10,10000,100.0 (5),0,0,0,0,13.4,102.34,0,699.8,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
KMEANS,GPU,10,10000,100.0 (5),0,0,0,0,12.84,90.62,0,723.07,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
KMEANS,CPU,10,5000,50.0 (10),0,0,0,0,13.62,60.39,0,1338.54,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0
KMEANS,GPU,10,5000,50.0 (10),0,0,0,0,5.32,45.98,0,1102.92,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0
KMEANS,CPU,10,2500,25.0 (20),0,0,0,0,8.78,25.64,0,625.42,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
KMEANS,GPU,10,2500,25.0 (20),0,0,0,0,5.84,24.48,0,637.62,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
KMEANS,CPU,10,1250,12.5 (40),0,0,0,0,6.12,12.27,0,436.91,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
KMEANS,GPU,10,1250,12.5 (40),0,0,0,0,0.33,15.46,0,256.2,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
KMEANS,CPU,10,625,6.3 (80),0,0,0,0,11.38,6.15,0,380.21,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
KMEANS,GPU,10,625,6.3 (80),0,0,0,0,6.41,8.75,0,142.63,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
KMEANS,CPU,10,313,3.1 (160),0,0,0,0,1.32,2.79,0,178.49,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
KMEANS,GPU,10,313,3.1 (160),0,0,0,0,5.42,6.59,0,42.97,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
KMEANS,CPU,10,156,1.6 (320),0,0,0,0,1.9,1.67,0,99.31,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
KMEANS,GPU,10,156,1.6 (320),0,0,0,0,1.58,6.23,0,55.52,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0
KMEANS,CPU,10,78,0.8 (640),0,0,0,0,0.19,1.03,0,31.9,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
KMEANS,GPU,10,78,0.8 (640),0,0,0,0,0.12,5.1,0,60.36,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0
KMEANS,CPU,10,39,0.4 (1280),0,0,0,0,0.13,0.85,0,46.74,8.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0
KMEANS,GPU,10,39,0.4 (1280),0,0,0,0,0.11,4.05,0,73.44,4.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0
MATMUL,GPU,32,2048,,0,0,0,0,6.01,33.75,0,834.95,59.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
MATMUL,GPU,32,512,,0,0,0,0,4.35,44.24,0,1353.6,139.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0
MATMUL,GPU,32,128,,0.02,0.01,0.02,0.03,0.03,67.04,0,2445.8,476.43,0,0.02,0,0,0.02,0,0,0,0,0,0,0,0,0.35,0
KMEANS,GPU,100,6250,,0,0,0,0,4.92,54.75,0,1894.19,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0
KMEANS,GPU,100,3125,,0,0,0,0,5.05,30,0,979.14,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
KMEANS,GPU,100,1563,,0,0,0,0,1.96,31.05,0,895.47,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
KMEANS,GPU,100,781,,0,0,0,0,2.38,29.47,0,763.32,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0
KMEANS,GPU,100,391,,0,0,0,0,1.4,25.95,0,671.92,4.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0
